from_ip_address,to_ip_address,package_count
172.18.0.2,172.18.0.5,2825
172.18.0.5,172.18.0.2,5633
172.18.0.3,172.18.0.5,954
172.18.0.5,172.18.0.3,1893
172.18.0.2,172.18.0.4,2840
172.18.0.4,172.18.0.2,5651
172.18.0.3,172.18.0.4,961
172.18.0.4,172.18.0.3,1906
172.18.0.3,172.18.0.2,183
172.18.0.2,172.18.0.3,254
172.21.0.5,172.21.0.2,4
172.21.0.2,172.21.0.5,6
172.21.0.3,172.21.0.4,2469
172.21.0.4,172.21.0.3,4936
172.21.0.3,172.21.0.6,24330
172.21.0.6,172.21.0.3,48655
172.21.0.5,172.21.0.6,24416
172.21.0.6,172.21.0.5,48830
